XDIP YDIP ZDIP RDIP
-4.80277351 0.28438249 -4.74083092 6.75447886
3.40773064 -2.7817009 6.67336323 7.99276328
-3.53875778 4.67255694 -3.06015891 6.61212277
-4.33744778 6.15347014 -3.32138412 8.22862324
-2.32645503 -6.76544246 -2.81718892 7.68896339
6.4035852 -0.783767596 -3.72038754 7.44724638
7.818699952E-02 1.16866154 7.94975288 8.03557427
-3.50027677 -5.42815529 4.09242546 7.64622478
5.01093153 -5.91988227 -2.2154005 8.0661292
5.8088566 2.23913259 1.52461522 6.4094447
5.65686732 -4.56096309 -1.81518618 7.48982196
4.47954999 5.54469696 -3.42000783 7.90610435
4.35756033 2.68673172 -4.49581714 6.81316601
-1.19364249 3.97667164 -5.89298875 7.20874581
5.05366604 6.30720122E-02 -5.25273635 7.28935921
-2.76910916 0.995662062 -6.23868279 6.89785991
-3.92835917 -3.52145754 -0.437748409 5.29379756
-6.1126434 -1.76752798 3.06139876 7.06121284
4.75747406 3.80266331 4.52698756 7.58863783
-6.48249807 4.88659804 -2.68862417 8.55162684
5.52993773 -5.60229828 0.301999199 7.87763675
-2.29144906 -2.93049958 4.840974 6.10521055
-3.79538418 4.13690848 -1.36283688 5.77722054
-3.91828967 -1.18464235 -6.3678781 7.5700887
6.59339899 1.8063187 -0.822795801 6.88568736
7.7616331 2.60740199 -2.90460635 8.68782087
6.72494618 2.27909195 -2.90767794 7.67292331
-2.01369533 1.72091017 6.48430948 7.00448215
1.14681819 2.29048241 6.6993032 7.17231936
-3.90653072 3.49294857 5.30759623 7.45870295
-5.091697 2.85220305 -1.36676314 5.99403721
-4.59622197 -0.699858806 -1.8212649 4.99320184
-5.91083026 2.29427646 -2.14227993 6.69260653
0.24437283 -2.75715679 7.59904374 8.08746545
-6.75724954 2.35013127 -0.302906136 7.16067668
-0.52201871 -6.35120645 3.71870605 7.37828582
-3.53713131 -0.962020317 4.9193104 6.13485092
5.86596436 3.98821973 1.0069176 7.16444816
4.65839714 -3.12477985 5.58108846 7.91286683
-6.27494245 2.85851512 1.96971432 7.17117745
6.35409638 -2.11778645 -1.13063544 6.79248826
-4.19296837 1.50671543 -4.88768928 6.61367384
1.25818439 -5.11486216 -4.56031796 6.96716174
4.36577911 -0.704937397 4.81618178 6.53854502
-6.98757795 3.41343298 -2.51783318 8.17418217
-2.68408441 -4.27701315 5.67437571 7.59576792
-6.63703324 1.27061813 -1.05265801 6.83906204
-0.159090928 -7.53325841 -3.18159097 8.17910835
1.60380669 3.46985173 -7.28535531 8.22730022
-4.51118615 4.95426254 0.242242886 6.70478929
